Company,Domain,Category,Austin Confirmed,URL
"BigCommerce Austin  May, 2025 (Hiring Now!)","zippia.com","Industry","Yes","https://www.zippia.com/bigcommerce-careers-1415812/jobs/austin-tx/"
"Top 10 Tech Companies in Austin, Texas","apptunix.com","Industry","Yes","https://www.apptunix.com/blog/top-tech-companies-in-austin-texas/"
"The 25 Best Tech Companies in Austin to Work For","flatironschool.com","Industry","Yes","https://flatironschool.com/blog/best-tech-companies-austin/"
"Cart.com moves global headquarters to Austin","cart.com","Industry","Yes","https://cart.com/newsroom/cart-com-moves-global-headquarters-to-austin"
"darkhive","darkhive.com","Growth","Yes","https://www.darkhive.com/post/defense-tech-startup-darkhive-secures-21-million-series-a-investment-led-by-ten-eleven-ventures"
"Setpoint raises $31M led by a16z for lending software","therealdeal.com","Growth","Yes","https://therealdeal.com/texas/austin/2024/08/15/setpoint-raises-31m-led-by-andreesen-horowitz/"
"CesiumAstro Secures $65M in Oversubscribed Funding Round","businesswire.com","Growth","Yes","https://www.businesswire.com/news/home/20240618783414/en/CesiumAstro-Secures-65M-in-Oversubscribed-Funding-Round"
"realworklabs","realworklabs.com","Growth","Yes","https://www.realworklabs.com/careers"
"Location: Austin, TX","gpj.com","Growth","Yes","https://www.gpj.com/news-insights/location/austin-tx/"
"Texas IT","sigmainfo.com","Growth","Yes","https://www.sigmainfo.com/about/jobs/"
"Apple Opportunities in Austin, TX","apple.com","Growth","Yes","https://www.apple.com/careers/us/work-at-apple/locations/austin.html"
"cyberstreams","cyberstreams.com","Growth","Yes","https://cyberstreams.com/careers"
"Search Identity Software  in Austin, Texas","sailpoint.com","Growth","Yes","https://www.sailpoint.com/company/careers?elqct=Website&elqchannel=OrganicDirect"
"Corporate Events","swiftfitevents.com","Corporate","Verify","https://www.swiftfitevents.com/corporate-wellness"
"Locations Around the World","cirrus.com","Corporate","Verify","https://www.cirrus.com/careers/locations"
"For Businesses","livegevity.co","Corporate","Verify","https://www.livegevity.co/corporate"
"People Operations Specialist @ Miro","jobs.accel.com","Corporate","Verify","https://jobs.accel.com/companies/miro/jobs/45168200-people-operations-coordinator"
"People Experience","careers.bigcommerce.com","Corporate","Verify","https://careers.bigcommerce.com/teams/people-experience/"
"digitalocean","digitalocean.com","Corporate","Verify","https://digitalocean.com/careers/people-team"
"Culture","q2.com","Corporate","Verify","https://www.q2.com/company/why-work-at-q2/culture"
"Company Retreat Budget Examples","boompop.com","Corporate","Verify","https://boompop.com/blog/5-company-retreat-budget-examples"
"The Power of the SKO (Sales Kickoff Meeting)","chiefoutsiders.com","Corporate","Verify","https://www.chiefoutsiders.com/blog/power-of-the-sko"
"20 Incredible Women-Founded AI Companies","glasshalffunded.com","Female-Led","Verify","https://glasshalffunded.com/20-incredible-women-founded-ai-companies/"
"50+ Investors and Funds for Female Founders","atto.vc","Female-Led","Verify","https://www.atto.vc/news/investors-for-female-founders"
"WomenTech Network","womentech.net","Female-Led","Verify","https://www.womentech.net/community/womentech-network"
"— Women in Fintech The Leading Global Community ...","womeninfintech.com","Female-Led","Verify","https://www.womeninfintech.com/about"
"smallbusinessworldmagazine","smallbusinessworldmagazine.com","Female-Led","Verify","https://www.smallbusinessworldmagazine.com/article/859922071-four-kitchens-welcomes-colleen-carroll-as-ceo-launching-a-new-chapter-of-women-in-leadership"
"Distill Health: Healthcare Marketing Agency","distillhealth.com","Industry","Verify","https://distillhealth.com/"
"Health Tech Startups funded by Y Combinator (YC) 2025","ycombinator.com","Industry","Verify","https://www.ycombinator.com/companies/industry/health-tech"
"springhealth","springhealth.com","Industry","Verify","https://www.springhealth.com/about-us"
"Circadia Health:","circadia.health","Industry","Verify","https://circadia.health/about"
"omnius.so","omnius.so","Industry","Verify","https://www.omnius.so/blog/leading-us-fintech-startups"
"Top 10 Fintech Software Development Companies of 2026","imaginarycloud.com","Industry","Verify","https://www.imaginarycloud.com/blog/top-fintech-development-companies"
"Working at Q2","topworkplaces.com","Industry","Verify","https://topworkplaces.com/company/q2ebanking/"
"9 Awesome FinTech Startups to Check Out During Your  ...","hatchit.io","Industry","Verify","https://www.hatchit.io/fintech-startups-to-check-out-during-your-job-search/"
"Aalo Atomics Raises $27M Series A Funding","energycentral.com","Growth","Verify","https://www.energycentral.com/energy-biz/post/aalo-atomics-raises-27m-series-funding-rlZvUf7YfqxXH9N"
"1000+ YC Requested Startups Fall 2025","insights.tryspecter.com","Growth","Verify","https://insights.tryspecter.com/yc-requested-startups-fall-2025/"
"outpost.us","outpost.us","Growth","Verify","https://outpost.us/post/outpost-raises-12-5-million-series-a-funding/"
"blog.nexus.xyz","blog.nexus.xyz","Growth","Verify","https://blog.nexus.xyz/series-a/"
"prnewswire","prnewswire.com","Growth","Verify","https://www.prnewswire.com/news-releases/expressable-raises-26m-series-b-to-expand-access-to-its-technology-enabled-speech-therapy-solution-302151537.html"
"finance.yahoo","finance.yahoo.com","Growth","Verify","https://finance.yahoo.com/news/quilt-raises-33m-launch-smartest-100000582.html"
"Join our mission-driven","esper.com","Growth","Verify","https://esper.com/careers/"
"IT  & Employment Opportunities","improving.com","Growth","Verify","https://www.improving.com/careers/"
"Join Our Humbly Awesome Software Development","praxent.com","Growth","Verify","https://praxent.com/careers"
